,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15
0,"('股票', 2.0)","('博客', 1.0)",,,,,,,,,,,,,,
1,"('午后', 2.2)","('信号', 2.0)","('突然', 1.0)",,,,,,,,,,,,,
2,"('下降', 2.0)","('好事', 2.0)","('说明', 2.0)","('投资者', 2.0)","('热情', 1.0)","('理性', 1.0)",,,,,,,,,,
3,"('去年', 2.2)","('公司', 2.0)","('全年', 2.0)",,,,,,,,,,,,,
4,"('稳定器', 4.39)","('引入', 2.0)","('中长期', 2.0)","('资金', 2.0)","('利于', 2.0)","('发挥', 2.0)","('市场', 2.0)","('作用', 1.69)",,,,,,,,
5,"('毛利率', 2.0)","('碾压', 2.0)","('茅台', 2.0)","('地产', 2.0)","('板块', 2.0)","('盈利', 2.0)","('能力', 2.0)","('下降', 2.0)",,,,,,,,
6,"('创业', 2.0)","('市值', 2.0)","('增长', 2.0)","('战略', 2.0)","('产业', 2.0)","('板块', 2.0)","('崛起', 1.0)",,,,,,,,,
7,"('业绩', 4.39)","('成药', 2.0)","('季报', 2.0)","('实现', 2.0)","('同比', 2.0)","('增长', 2.0)","('疫苗', 2.0)","('企业', 2.0)",,,,,,,,
8,"('基金', 2.0)","('压力', 2.0)","('隐现', 2.0)","('业内人士', 2.0)","('时代', 2.0)","('结束', 1.0)",,,,,,,,,,
9,"('机构', 2.0)","('趋势', 2.0)","('提速', 2.0)","('外资', 2.0)","('促进', 2.0)","('原因', 1.0)",,,,,,,,,,
10,"('机构', 2.0)","('看好', 2.0)","('耳机', 2.0)","('产业链', 2.0)","('挖掘', 2.0)","('投资', 2.0)","('机会', 2.0)","('TWS', 1.2)",,,,,,,,
11,"('君实', 6.6)","('公司', 2.69)","('上海', 2.2)","('生物', 2.0)","('中止', 2.0)","('审核', 1.0)",,,,,,,,,,
12,"('证券时报', 2.4)","('首日', 2.2)","('涨幅', 2.0)","('创新', 2.0)","('能否', 2.0)","('下调', 1.0)",,,,,,,,,,
13,"('上交所', 2.0)","('持续', 2.0)","('吸引', 2.0)","('外资', 2.0)","('参与', 2.0)","('营造', 2.0)","('资本', 2.0)","('市场', 2.0)","('生态', 1.0)",,,,,,,
14,"('上市', 2.0)","('公司', 2.0)","('实现', 2.0)","('净利', 2.0)",,,,,,,,,,,,
15,"('时间', 2.0)","('跨度', 2.0)","('季报', 2.0)","('上市', 2.0)","('公司', 2.0)","('质量', 2.0)","('发展', 1.0)",,,,,,,,,
16,"('专家', 2.0)","('社保', 2.0)","('基金', 2.0)","('比例', 2.0)","('适度', 1.0)","('上调', 1.0)",,,,,,,,,,
17,"('聚焦', 2.0)","('上市', 2.0)","('公司', 2.0)","('季报', 2.0)","('盈利', 2.0)","('研发', 2.0)","('投入', 2.0)","('提升', 1.0)",,,,,,,,
18,"('套餐', 4.39)","('运营', 2.0)","('便宜', 1.0)",,,,,,,,,,,,,
19,"('19Q3', 2.4)","('季度', 2.0)","('净利', 2.0)","('新高', 2.0)","('ROE', 1.2)",,,,,,,,,,,
20,"('中国', 2.2)","('区块', 2.0)","('技能', 2.0)","('企业', 2.0)","('转型', 2.0)","('突破', 2.0)","('瓶颈', 2.0)",,,,,,,,,
21,"('季报', 2.0)","('同比', 2.0)",,,,,,,,,,,,,,
22,"('招商', 2.0)","('策略', 2.0)","('业绩', 2.0)","('增长', 2.0)","('ROE', 1.2)","('平稳', 1.0)","('缓慢', 1.0)","('回落', 1.0)",,,,,,,,
23,"('破灭', 4.39)","('如今', 2.2)","('神话', 2.0)",,,,,,,,,,,,,
24,"('邓晓峰', 6.6)","('赵军', 5.5)","('顶级', 2.0)",,,,,,,,,,,,,
25,"('高毅', 6.6)","('淡水', 2.0)","('曝光', 2.0)","('名单', 2.0)","('股', 1.46)",,,,,,,,,,,
